States/UT,Rice - 2016-17,Rice - 2017-18,Rice - 2018-19*,Rice - 2019-20**,Wheat - 2016-17,Wheat - 2017-18,Wheat - 2018-19*,Wheat - 2019-20**,Coarse Cereals - 2016-17,Coarse Cereals - 2017-18,Coarse Cereals - 2018-19*,Coarse Cereals - 2019-20**,Pulses - 2016-17,Pulses - 2017-18,Pulses - 2018-19*,Pulses - 2019-20**,Total Foodgrains - 2016-17,Total Foodgrains - 2017-18,Total Foodgrains - 2018-19*,Total Foodgrains - 2019-20**
Andhra Pradesh,7452.4,8166.2,8246.7,4868.7,0,0,NA,NA,1982,2776.1,1989.7,475.6,931,1217.4,751.7,137.7,10365.4,12159.8,10988,5482
Arunachal Pradesh,220,233.3,#,#,7.7,7.7,#,NA,102.5,104.5,#,#,13.1,13.5,#,#,343.3,359.1,#,#
Assam,4727.4,5283.7,5135.4,4013,23.5,24.7,27.8,NA,94.1,101.8,94.9,99.9,107.5,115.8,118.9,44.6,4952.5,5525.9,5377,4157.5
Bihar,8239.3,8093.1,6042.6,6550.9,5110.8,6104.3,6153.6,NA,2719.1,2385.2,3058.7,565.3,461.7,454.2,437.8,57.1,16530.8,17036.9,15692.7,7173.3
Chhattisgarh,8048.4,4930.8,6526.9,6338.2,159.5,130.7,142.3,NA,357.5,347.2,331.5,327.3,758.7,550,536.7,73.4,9324.1,5958.7,7537.4,6738.9
Goa,113.2,103,#,#,NA,NA,#,NA,0,0,#,#,5.9,4.8,#,#,119.1,107.8,#,#
Gujarat,1930,1890.9,1889,2068.7,2737,3069,2399.5,NA,1937,1782.2,1741.7,853.5,818,922.6,664.1,399.3,7422,7664.7,6694.2,3321.5
Haryana,4453,4523.4,4516.1,4281.7,11546.8,10765.3,12574,NA,1087,833.8,972.8,982.3,75.9,69.4,73.3,17.8,17162.7,16191.8,18136.2,5281.8
Himachal Pradesh,146.6,114.8,114.8,113.4,704.2,565.7,565.7,NA,826.4,750.3,750.2,708.6,63.3,57.5,57.4,11.6,1740.6,1488.3,1488,833.6
Jammu & Kashmir,572.2,513.1,603,NA,475.5,487.4,491.3,NA,561,559.9,525.8,NA,10.3,10.6,13.2,NA,1618.9,1571.1,1633.3,NA
Jharkhand,3841.8,4078,2884.7,2991.1,425.2,468.7,300,NA,590.8,617.9,503.6,501.5,806.5,836.7,733.2,366.9,5664.4,6001.3,4421.6,3859.5
Karnataka,2604.8,3017.1,3267.6,2565,171,230.2,185.3,NA,5281,6592.6,5537.6,5171.5,1737.9,1951.2,1858.1,883.8,9794.7,11791.2,10848.6,8620.3
Kerala,437.1,521.3,577.2,383.3,NA,NA,0,NA,0.2,0.4,0.6,0.2,1.7,2,2.3,0.1,439,523.8,580.1,383.6
