S.No.,State,District,2022 - 2023,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1,Andaman and Nicobar Islands,Nicobars,1,1.26,1.26
,,North and middle andaman,"4,930.29","10,403.26",2.11
,,South andamans,73.5,153.06,2.08
2,Andhra Pradesh,Alluri sitharama raju,"81,832.00","2,11,777.00",2.59
,,Anakapalli,"60,334.00","1,88,192.00",3.12
,,Anantapur,"64,171.00","2,74,397.00",4.28
,,Annamayya,"19,980.00","73,512.00",3.68
,,Bapatla,"1,65,107.00","10,21,518.00",6.19
,,Chittoor,"24,687.00","75,170.00",3.04
,,East godavari,"1,41,759.00","6,81,012.00",4.8
,,Eluru,"1,51,010.00","8,95,559.00",5.93
,,Guntur,"1,00,209.00","6,80,037.00",6.79
,,Kadapa,"48,978.00","1,48,125.00",3.02
,,Kakinada,"1,55,875.00","6,14,674.00",3.94
,,Konaseema,"1,27,944.00","5,95,678.00",4.66
,,Krishna,"1,76,018.00","7,30,890.00",4.15
,,Kurnool,"41,501.00","1,43,033.00",3.45
,,Nandyal,"1,99,843.00","7,98,811.00",4
,,Ntr,"77,164.00","3,25,674.00",4.22
,,Palnadu,"73,293.00","3,15,848.00",4.31
,,Parvathipuram manyam,"86,542.00","3,01,077.00",3.48
,,Prakasam,"46,649.00","1,60,082.00",3.43
,,Spsr nellore,"1,54,232.00","6,83,236.00",4.43
,,Sri sathya sai,"41,887.00","1,09,573.00",2.62
,,Srikakulam,"1,90,629.00","6,96,570.00",3.65
,,Tirupati,"1,02,295.00","3,91,507.00",3.83
,,Visakhapatanam,"6,580.00","23,019.00",3.5
,,Vizianagaram,"1,32,470.00","6,02,275.00",4.55
,,West godavari,"1,76,175.00","8,02,709.00",4.56
3,Arunachal Pradesh,Anjaw,"7,846.00","10,906.00",1.39
,,Changlang,"13,178.00","25,841.30",1.96
,,Dibang valley,"4,861.00","6,287.30",1.29
,,East kameng,"9,370.00","12,946.60",1.38
,,East siang,"19,070.00","34,906.60",1.83
,,Kamle,"4,814.00","9,268.00",1.93
,,Kra daadi,"1,252.00","2,137.30",1.71
,,Kurung kumey,"1,173.00","2,054.60",1.75
,,Leparada,"4,653.00","7,491.30",1.61
,,Lohit,"9,629.00","16,461.30",1.71
,,Longding,"7,754.00","13,215.30",1.7
,,Lower dibang valley,"25,596.00","38,613.60",1.51
,,Lower siang,"9,275.00","13,763.00",1.48
,,Lower subansiri,"8,380.00","15,576.30",1.86
,,Namsai,"16,245.00","29,770.00",1.83
,,Pakke kessang,"4,043.00","5,644.60",1.4
,,Papum pare,"16,435.00","31,890.60",1.94
,,Shi yomi,"3,253.00","5,359.60",1.65
,,Siang,"11,843.00","22,795.00",1.92
,,Tawang,"4,334.00","7,670.60",1.77
,,Tirap,"8,982.00","11,064.30",1.23
,,Upper siang,"10,218.00","17,569.60",1.72
,,Upper subansiri,"7,268.00","13,351.30",1.84
,,West kameng,"6,267.00","10,181.30",1.62
,,West siang,"7,550.00","12,325.00",1.63
4,Assam,Baksa,"91,166.00","2,34,465.00",2.57
,,Barpeta,"1,10,627.00","3,13,484.00",2.83
,,Biswanath,"62,188.00","1,58,671.00",2.55
,,Bongaigaon,"64,815.00","1,83,263.00",2.83
,,Cachar,"86,238.00","1,80,328.00",2.09
,,Charaideo,"34,789.00","88,327.00",2.54
,,Chirang,"42,586.00","1,20,003.00",2.82
,,Darrang,"85,441.00","3,25,032.00",3.8
,,Dhemaji,"78,673.00","1,72,886.00",2.2
,,Dhubri,"85,558.00","2,71,122.00",3.17
,,Dibrugarh,"78,760.00","2,16,855.00",2.75
,,Dima hasao,"19,645.00","41,456.00",2.11
,,Goalpara,"79,225.00","2,34,720.00",2.96
,,Golaghat,"1,24,841.00","3,43,919.00",2.75
,,Hailakandi,"42,412.00","1,15,737.00",2.73
,,Hojai,"64,837.00","2,20,189.00",3.4
,,Jorhat,"70,265.00","2,03,980.00",2.9
,,Kamrup,"1,23,185.00","3,68,564.00",2.99
,,Kamrup metro,"15,930.00","47,784.00",3
,,Karbi anglong,"83,129.00","2,10,018.00",2.53
,,Karimganj,"66,438.00","1,35,687.00",2.04
,,Kokrajhar,"79,070.00","1,68,662.00",2.13
,,Lakhimpur,"1,11,775.00","2,20,492.00",1.97
,,Majuli,"28,905.00","72,942.00",2.52
,,Marigaon,"88,260.00","2,60,589.00",2.95
,,Nagaon,"1,44,939.00","3,83,057.00",2.64
,,Nalbari,"55,253.00","1,49,857.00",2.71
,,Sivasagar,"68,340.00","1,80,725.00",2.64
,,Sonitpur,"99,534.00","2,94,459.00",2.96
,,South salmara mancachar,"21,490.00","64,785.00",3.01
,,Tinsukia,"72,007.00","1,30,005.00",1.81
,,Udalguri,"88,535.00","2,28,017.00",2.58
,,West karbi anglong,"60,423.00","1,51,025.00",2.5
5,Bihar,Araria,"1,54,233.00","11,23,873.00",7.29
,,Arwal,"26,287.00","80,891.00",3.08
,,Aurangabad,"2,42,055.00","7,72,820.00",3.19
,,Banka,"1,08,214.00","2,62,368.00",2.42
,,Begusarai,"1,54,011.00","5,95,796.00",3.87
,,Bhagalpur,"91,507.00","2,92,306.00",3.19
,,Bhojpur,"2,18,338.00","7,09,504.00",3.25
,,Buxar,"1,72,022.00","5,96,296.00",3.47
,,Darbhanga,"1,57,401.00","3,35,621.00",2.13
,,Gaya,"1,51,510.00","4,04,837.00",2.67
,,Gopalganj,"1,18,106.00","3,12,499.00",2.65
,,Jamui,"47,385.00","97,069.00",2.05
,,Jehanabad,"40,306.00","1,35,032.00",3.35
,,Kaimur (bhabua),"2,45,985.00","8,76,560.00",3.56
,,Katihar,"1,79,135.00","10,56,936.00",5.9
,,Khagaria,"98,889.00","4,75,863.00",4.81
,,Kishanganj,"1,18,233.00","4,12,727.00",3.49
,,Lakhisarai,"55,018.00","1,97,920.00",3.6
,,Madhepura,"1,47,005.00","5,49,894.00",3.74
,,Madhubani,"2,60,789.00","4,55,516.00",1.75
,,Munger,"41,656.00","1,25,117.00",3
,,Muzaffarpur,"2,82,015.00","6,66,292.00",2.36
,,Nalanda,"1,97,408.00","6,45,259.00",3.27
,,Nawada,"1,18,837.00","3,70,494.00",3.12
,,Pashchim champaran,"1,99,694.00","5,23,045.00",2.62
,,Patna,"1,41,286.00","4,74,622.00",3.36
,,Purbi champaran,"3,57,338.00","7,99,607.00",2.24
,,Purnia,"1,17,632.00","6,20,199.00",5.27
,,Rohtas,"3,98,041.00","16,20,761.00",4.07
,,Saharsa,"1,51,224.00","3,88,495.00",2.57
,,Samastipur,"2,09,491.00","7,11,634.00",3.4
,,Saran,"1,61,272.00","5,39,540.00",3.35
,,Sheikhpura,"47,604.00","1,16,087.00",2.44
,,Sheohar,"36,165.00","95,603.00",2.64
,,Sitamarhi,"1,97,648.00","4,46,708.00",2.26
,,Siwan,"2,00,117.00","5,57,221.00",2.78
,,Supaul,"1,81,355.00","5,53,449.00",3.05
,,Vaishali,"1,09,316.00","3,23,529.00",2.96
6,Chandigarh,Chandigarh,641,"3,227.00",5.03
7,Chhattisgarh,Balod,"1,96,199.00","5,86,980.00",2.99
,,Baloda bazar,"2,06,803.00","5,53,572.00",2.68
,,Balrampur,"1,26,670.00","3,25,280.00",2.57
,,Bastar,"1,57,037.00","4,18,044.00",2.66
,,Bemetara,"2,60,704.00","7,79,598.00",2.99
,,Bijapur,"83,576.00","1,91,473.00",2.29
,,Bilaspur,"1,86,269.00","6,25,300.00",3.36
,,Dantewada,"83,075.00","1,48,070.00",1.78
,,Dhamtari,"1,84,487.00","6,04,273.00",3.28
,,Durg,"1,57,230.00","4,27,559.00",2.72
,,Gariyaband,"1,49,880.00","3,87,871.00",2.59
,,Gaurella-pendra-marwahi,"63,906.00","2,29,997.00",3.6
