S.No.,State,District,2022 - 2023,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1,Andaman and Nicobar Islands,Nicobars,1,1.26,1.26
,,North and middle andaman,"5,462.54","10,594.59",1.94
,,South andamans,80.6,157.19,1.95
2,Andhra Pradesh,Alluri sitharama raju,"96,112.00","2,26,959.00",2.36
,,Anakapalli,"72,565.00","1,94,905.00",2.69
,,Anantapur,"1,85,532.00","3,62,981.00",1.96
,,Annamayya,"26,313.00","76,799.00",2.92
,,Bapatla,"2,26,759.00","11,36,444.00",5.01
,,Chittoor,"37,529.00","81,364.00",2.17
,,East godavari,"1,45,978.00","6,87,637.00",4.71
,,Eluru,"1,69,630.00","9,22,379.00",5.44
,,Guntur,"1,23,731.00","7,22,984.00",5.84
,,Kadapa,"1,45,193.00","2,59,844.00",1.79
,,Kakinada,"1,65,741.00","6,23,515.00",3.76
,,Konaseema,"1,28,940.00","5,95,987.00",4.62
,,Krishna,"3,12,624.00","9,54,262.00",3.05
,,Kurnool,"1,11,109.00","2,30,365.00",2.07
,,Nandyal,"3,20,664.00","9,28,412.00",2.9
,,Ntr,"86,138.00","3,36,383.00",3.91
,,Palnadu,"1,05,274.00","3,53,867.30",3.36
,,Parvathipuram manyam,"98,645.00","3,07,963.00",3.12
,,Prakasam,"1,88,477.00","2,48,161.00",1.32
,,Spsr nellore,"1,73,455.00","7,04,640.00",4.06
,,Sri sathya sai,"85,862.00","1,15,309.00",1.34
,,Srikakulam,"2,23,610.00","7,19,496.00",3.22
,,Tirupati,"1,03,597.00","3,92,210.00",3.79
,,Visakhapatanam,"6,991.00","23,434.00",3.35
,,Vizianagaram,"1,63,234.00","6,22,312.00",3.81
,,West godavari,"1,76,285.00","8,02,861.00",4.55
3,Arunachal Pradesh,Anjaw,"7,996.00","11,022.00",1.38
,,Changlang,"13,869.00","26,480.30",1.91
,,Dibang valley,"5,111.00","6,448.30",1.26
,,East kameng,"9,894.00","13,368.60",1.35
,,East siang,"19,616.00","35,433.60",1.81
,,Kamle,"5,026.00","9,487.00",1.89
,,Kra daadi,"1,289.00","2,169.30",1.68
,,Kurung kumey,"1,212.00","2,085.60",1.72
,,Leparada,"4,758.00","7,597.30",1.6
,,Lohit,"10,437.00","17,279.30",1.66
,,Longding,"7,868.00","13,300.30",1.69
,,Lower dibang valley,"26,358.00","39,322.60",1.49
,,Lower siang,"9,627.00","14,088.00",1.46
,,Lower subansiri,"8,691.00","15,856.30",1.82
,,Namsai,"17,303.00","30,751.00",1.78
,,Pakke kessang,"4,312.00","5,857.60",1.36
,,Papum pare,"16,858.00","32,302.60",1.92
,,Shi yomi,"3,301.00","5,403.60",1.64
,,Siang,"12,184.00","23,124.00",1.9
,,Tawang,"4,658.00","8,018.60",1.72
,,Tirap,"9,135.00","11,198.30",1.23
,,Upper siang,"10,577.00","17,909.60",1.69
,,Upper subansiri,"7,606.00","13,758.30",1.81
,,West kameng,"6,768.00","10,598.30",1.57
,,West siang,"7,678.00","12,451.00",1.62
4,Assam,Baksa,"96,950.00","2,39,890.00",2.47
,,Barpeta,"1,21,259.00","3,19,768.00",2.64
,,Biswanath,"66,228.00","1,62,477.00",2.45
,,Bongaigaon,"70,591.00","1,86,950.00",2.65
,,Cachar,"90,926.00","1,83,612.00",2.02
,,Charaideo,"35,033.00","88,492.00",2.53
,,Chirang,"48,110.00","1,23,743.00",2.57
,,Darrang,"90,141.00","3,28,973.00",3.65
,,Dhemaji,"81,009.00","1,74,434.00",2.15
,,Dhubri,"97,994.00","2,81,376.00",2.87
,,Dibrugarh,"79,716.00","2,17,531.00",2.73
,,Dima hasao,"20,910.00","42,298.00",2.02
,,Goalpara,"83,820.00","2,37,414.00",2.83
,,Golaghat,"1,27,477.00","3,45,679.00",2.71
,,Hailakandi,"45,220.00","1,18,516.00",2.62
,,Hojai,"65,490.00","2,20,680.00",3.37
,,Jorhat,"71,041.00","2,04,426.00",2.88
,,Kamrup,"1,31,206.00","3,75,572.00",2.86
,,Kamrup metro,"16,828.00","48,593.00",2.89
,,Karbi anglong,"88,538.00","2,13,872.00",2.42
,,Karimganj,"68,390.00","1,37,789.00",2.01
,,Kokrajhar,"81,679.00","1,70,908.00",2.09
,,Lakhimpur,"1,16,528.00","2,24,156.00",1.92
,,Majuli,"35,044.00","76,823.00",2.19
,,Marigaon,"92,034.00","2,63,985.00",2.87
,,Nagaon,"1,50,814.00","3,86,851.00",2.57
,,Nalbari,"56,454.00","1,50,797.00",2.67
,,Sivasagar,"68,677.00","1,80,951.00",2.63
,,Sonitpur,"1,05,470.00","2,99,236.00",2.84
,,South salmara mancachar,"22,868.00","65,753.00",2.88
,,Tinsukia,"74,543.00","1,30,982.00",1.76
,,Udalguri,"90,090.00","2,29,442.00",2.55
,,West karbi anglong,"63,068.00","1,52,923.00",2.42
5,Bihar,Araria,"1,60,091.00","11,26,560.00",7.04
,,Arwal,"29,579.00","83,758.00",2.83
,,Aurangabad,"2,81,929.00","8,00,647.00",2.84
,,Banka,"1,16,083.00","2,69,155.00",2.32
,,Begusarai,"1,55,716.00","5,97,783.00",3.84
,,Bhagalpur,"1,01,909.00","3,00,705.00",2.95
,,Bhojpur,"2,27,559.00","7,21,008.00",3.17
,,Buxar,"1,77,706.00","6,03,073.00",3.39
,,Darbhanga,"1,65,384.00","3,40,969.00",2.06
,,Gaya,"1,65,665.00","4,20,167.00",2.54
,,Gopalganj,"1,19,199.00","3,13,545.00",2.63
,,Jamui,"53,859.00","1,03,410.00",1.92
,,Jehanabad,"53,408.00","1,50,650.00",2.82
,,Kaimur (bhabua),"2,49,986.00","8,80,459.00",3.52
,,Katihar,"1,83,444.00","10,60,696.00",5.78
,,Khagaria,"1,01,872.00","4,78,584.00",4.7
,,Kishanganj,"1,25,501.00","4,18,026.00",3.33
,,Lakhisarai,"67,542.00","2,12,482.00",3.15
,,Madhepura,"1,70,198.00","5,71,499.00",3.36
,,Madhubani,"2,81,084.00","4,70,276.00",1.67
,,Munger,"43,643.00","1,26,583.00",2.9
,,Muzaffarpur,"3,06,491.00","6,86,988.00",2.24
,,Nalanda,"2,18,371.00","6,72,333.00",3.08
,,Nawada,"1,27,894.00","3,79,719.00",2.97
,,Pashchim champaran,"2,08,009.00","5,31,538.00",2.56
,,Patna,"1,87,506.00","5,33,084.00",2.84
,,Purbi champaran,"3,65,549.00","8,08,344.00",2.21
,,Purnia,"1,18,879.00","6,21,577.00",5.23
,,Rohtas,"4,02,228.00","16,25,190.00",4.04
,,Saharsa,"1,67,927.00","3,98,331.00",2.37
,,Samastipur,"2,25,260.00","7,28,958.00",3.24
,,Saran,"1,63,250.00","5,41,420.00",3.32
,,Sheikhpura,"52,472.00","1,19,754.00",2.28
,,Sheohar,"38,010.00","97,690.00",2.57
,,Sitamarhi,"2,03,910.00","4,52,988.00",2.22
,,Siwan,"2,03,104.00","5,61,238.00",2.76
,,Supaul,"2,15,668.00","5,77,671.00",2.68
,,Vaishali,"1,17,470.00","3,32,569.00",2.83
6,Chandigarh,Chandigarh,641,"3,227.00",5.03
7,Chhattisgarh,Balod,"2,24,374.00","6,06,491.00",2.7
,,Baloda bazar,"2,10,016.00","5,55,503.00",2.65
,,Balrampur,"1,34,182.00","3,29,456.00",2.46
,,Bastar,"1,60,159.00","4,19,282.00",2.62
,,Bemetara,"3,60,320.00","8,59,526.00",2.39
,,Bijapur,"84,294.00","1,91,797.00",2.28
,,Bilaspur,"1,90,245.00","6,28,273.00",3.3
,,Dantewada,"84,117.00","1,48,500.00",1.77
,,Dhamtari,"2,02,457.00","6,20,218.00",3.06
,,Durg,"1,82,882.00","4,48,974.00",2.45
,,Gariyaband,"1,54,639.00","3,89,926.00",2.52
