S.No.,State,District,2022 - 2023,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1,Andaman and Nicobar Islands,North and middle andaman,6,3.61,0.6
2,Andhra Pradesh,Alluri sitharama raju,"6,167.00","17,304.00",2.81
,,Anakapalli,"6,077.00","70,290.00",11.57
,,Anantapur,"2,25,672.00","1,46,031.00",0.65
,,Annamayya,"40,663.00","70,601.35",1.74
,,Bapatla,"6,338.00","24,310.00",3.84
,,Chittoor,"37,724.00","59,298.00",1.57
,,East godavari,"18,101.00","3,67,826.00",20.32
,,Eluru,"51,068.00","12,23,752.18",23.96
,,Guntur,593,"1,230.35",2.07
,,Kadapa,"26,148.00","37,290.00",1.43
,,Kakinada,"11,442.00","2,60,300.00",22.75
,,Konaseema,408,"8,930.30",21.89
,,Krishna,"4,719.00","83,884.00",17.78
,,Kurnool,"70,755.00","93,170.35",1.32
,,Nandyal,"27,396.00","28,963.00",1.06
,,Ntr,"1,249.00","24,428.00",19.56
,,Palnadu,"1,331.00","1,368.00",1.03
,,Parvathipuram manyam,"7,468.00","1,25,447.00",16.8
,,Prakasam,"12,361.00","6,000.00",0.49
,,Spsr nellore,"12,504.00","42,951.00",3.43
,,Sri sathya sai,"2,12,544.00","1,00,811.35",0.47
,,Srikakulam,"7,173.00","17,858.00",2.49
,,Tirupati,"10,916.00","31,856.00",2.92
,,Visakhapatanam,618,"1,248.00",2.02
,,Vizianagaram,"9,937.00","33,624.00",3.38
,,West godavari,"1,011.00","24,079.00",23.82
3,Arunachal Pradesh,Anjaw,301,259,0.86
,,Changlang,"4,935.00","4,633.00",0.94
,,Dibang valley,293,231,0.79
,,East kameng,932,"1,171.00",1.26
,,East siang,"3,130.00","3,224.00",1.03
,,Kamle,452,498,1.1
,,Kra daadi,98,105,1.07
,,Kurung kumey,89,83,0.93
,,Leparada,397,474,1.19
,,Lohit,"4,485.00","4,504.00",1
,,Longding,329,316,0.96
,,Lower dibang valley,"5,614.00","6,068.00",1.08
,,Lower siang,961,"1,447.00",1.51
,,Lower subansiri,739,935,1.27
,,Namsai,"6,723.00","6,605.00",0.98
,,Pakke kessang,404,520,1.29
,,Papum pare,"2,191.00","2,767.00",1.26
,,Shi yomi,255,192,0.75
,,Siang,"2,141.00","2,135.00",1
,,Tawang,334,508,1.52
,,Tirap,306,377,1.23
,,Upper siang,249,243,0.98
,,Upper subansiri,408,522,1.28
,,West kameng,356,580,1.63
,,West siang,602,522,0.87
4,Assam,Baksa,"12,690.00","8,803.00",0.69
,,Barpeta,"23,477.00","16,912.00",0.72
