S.No.,State,District,2022 - 2023,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1,Andaman and Nicobar Islands,North and middle andaman,532.25,191.33,0.36
,,South andamans,7.1,4.13,0.58
2,Andhra Pradesh,Alluri sitharama raju,"14,280.00","15,182.00",1.06
,,Anakapalli,"12,231.00","6,713.00",0.55
,,Anantapur,"1,21,361.00","88,584.00",0.73
,,Annamayya,"6,333.00","3,287.00",0.52
,,Bapatla,"61,652.00","1,14,926.00",1.86
,,Chittoor,"12,842.00","6,194.00",0.48
,,East godavari,"4,219.00","6,625.00",1.57
,,Eluru,"18,620.00","26,820.00",1.44
,,Guntur,"23,522.00","42,947.00",1.83
,,Kadapa,"96,215.00","1,11,719.00",1.16
,,Kakinada,"9,866.00","8,841.00",0.9
,,Konaseema,996,309,0.31
,,Krishna,"1,36,606.00","2,23,372.00",1.64
,,Kurnool,"69,608.00","87,332.00",1.25
,,Nandyal,"1,20,821.00","1,29,601.00",1.07
,,Ntr,"8,974.00","10,709.00",1.19
,,Palnadu,"31,981.00","38,019.30",1.19
,,Parvathipuram manyam,"12,103.00","6,886.00",0.57
,,Prakasam,"1,41,828.00","88,079.00",0.62
,,Spsr nellore,"19,223.00","21,404.00",1.11
,,Sri sathya sai,"43,975.00","5,736.00",0.13
,,Srikakulam,"32,981.00","22,926.00",0.7
,,Tirupati,"1,302.00",703,0.54
,,Visakhapatanam,411,415,1.01
,,Vizianagaram,"30,764.00","20,037.00",0.65
,,West godavari,110,152,1.38
3,Arunachal Pradesh,Anjaw,150,116,0.77
,,Changlang,691,639,0.92
,,Dibang valley,250,161,0.64
,,East kameng,524,422,0.81
,,East siang,546,527,0.97
,,Kamle,212,219,1.03
,,Kra daadi,37,32,0.86
,,Kurung kumey,39,31,0.79
,,Leparada,105,106,1.01
,,Lohit,808,818,1.01
,,Longding,114,85,0.75
,,Lower dibang valley,762,709,0.93
,,Lower siang,352,325,0.92
,,Lower subansiri,311,280,0.9
,,Namsai,"1,058.00",981,0.93
,,Pakke kessang,269,213,0.79
,,Papum pare,423,412,0.97
,,Shi yomi,48,44,0.92
,,Siang,341,329,0.96
,,Tawang,324,348,1.07
,,Tirap,153,134,0.88
,,Upper siang,359,340,0.95
,,Upper subansiri,338,407,1.2
,,West kameng,501,417,0.83
,,West siang,128,126,0.98
4,Assam,Baksa,"5,784.00","5,425.00",0.94
,,Barpeta,"10,632.00","6,284.00",0.59
,,Biswanath,"4,040.00","3,806.00",0.94
,,Bongaigaon,"5,776.00","3,687.00",0.64
,,Cachar,"4,688.00","3,284.00",0.7
,,Charaideo,244,165,0.68
,,Chirang,"5,524.00","3,740.00",0.68
,,Darrang,"4,700.00","3,941.00",0.84
,,Dhemaji,"2,336.00","1,548.00",0.66
,,Dhubri,"12,436.00","10,254.00",0.82
,,Dibrugarh,956,676,0.71
,,Dima hasao,"1,265.00",842,0.67
,,Goalpara,"4,595.00","2,694.00",0.59
,,Golaghat,"2,636.00","1,760.00",0.67
,,Hailakandi,"2,808.00","2,779.00",0.99
,,Hojai,653,491,0.75
,,Jorhat,776,446,0.57
,,Kamrup,"8,021.00","7,008.00",0.87
,,Kamrup metro,898,809,0.9
,,Karbi anglong,"5,409.00","3,854.00",0.71
,,Karimganj,"1,952.00","2,102.00",1.08
,,Kokrajhar,"2,609.00","2,246.00",0.86
,,Lakhimpur,"4,753.00","3,664.00",0.77
,,Majuli,"6,139.00","3,881.00",0.63
,,Marigaon,"3,774.00","3,396.00",0.9
,,Nagaon,"5,875.00","3,794.00",0.65
,,Nalbari,"1,201.00",940,0.78
,,Sivasagar,337,226,0.67
,,Sonitpur,"5,936.00","4,777.00",0.8
,,South salmara mancachar,"1,378.00",968,0.7
,,Tinsukia,"2,536.00",977,0.39
,,Udalguri,"1,555.00","1,425.00",0.92
,,West karbi anglong,"2,645.00","1,898.00",0.72
5,Bihar,Araria,"5,858.00","2,687.00",0.46
,,Arwal,"3,292.00","2,867.00",0.87
,,Aurangabad,"39,874.00","27,827.00",0.7
,,Banka,"7,869.00","6,787.00",0.86
,,Begusarai,"1,705.00","1,987.00",1.17
,,Bhagalpur,"10,402.00","8,399.00",0.81
,,Bhojpur,"9,221.00","11,504.00",1.25
,,Buxar,"5,684.00","6,777.00",1.19
,,Darbhanga,"7,983.00","5,348.00",0.67
,,Gaya,"14,155.00","15,330.00",1.08
,,Gopalganj,"1,093.00","1,046.00",0.96
,,Jamui,"6,474.00","6,341.00",0.98
,,Jehanabad,"13,102.00","15,618.00",1.19
,,Kaimur (bhabua),"4,001.00","3,899.00",0.97
,,Katihar,"4,309.00","3,760.00",0.87
,,Khagaria,"2,983.00","2,721.00",0.91
,,Kishanganj,"7,268.00","5,299.00",0.73
,,Lakhisarai,"12,524.00","14,562.00",1.16
,,Madhepura,"23,193.00","21,605.00",0.93
,,Madhubani,"20,295.00","14,760.00",0.73
,,Munger,"1,987.00","1,466.00",0.74
,,Muzaffarpur,"24,476.00","20,696.00",0.85
,,Nalanda,"20,963.00","27,074.00",1.29
,,Nawada,"9,057.00","9,225.00",1.02
,,Pashchim champaran,"8,315.00","8,493.00",1.02
,,Patna,"46,220.00","58,462.00",1.26
,,Purbi champaran,"8,211.00","8,737.00",1.06
,,Purnia,"1,247.00","1,378.00",1.11
,,Rohtas,"4,187.00","4,429.00",1.06
,,Saharsa,"16,703.00","9,836.00",0.59
,,Samastipur,"15,769.00","17,324.00",1.1
,,Saran,"1,978.00","1,880.00",0.95
,,Sheikhpura,"4,868.00","3,667.00",0.75
,,Sheohar,"1,845.00","2,087.00",1.13
,,Sitamarhi,"6,262.00","6,280.00",1
,,Siwan,"2,987.00","4,017.00",1.34
,,Supaul,"34,313.00","24,222.00",0.71
,,Vaishali,"8,154.00","9,040.00",1.11
6,Chhattisgarh,Balod,"28,175.00","19,511.00",0.69
,,Baloda bazar,"3,213.00","1,931.00",0.6
,,Balrampur,"7,512.00","4,176.00",0.56
,,Bastar,"3,122.00","1,238.00",0.4
,,Bemetara,"99,616.00","79,928.00",0.8
,,Bijapur,718,324,0.45
,,Bilaspur,"3,976.00","2,973.00",0.75
